,Creature, Level 1 , +W , +T , Level 1 , +W , +T , Level 1 , +W , +T , Level 1 , +W , +T , Level 1 , +W , +T , Level 1 , +W , +T , Level 1 , +T , Level 1 , +W 
214,   Nameless ,220, 44 , ,150, 15 ,0 ,150, 15 ,0 ,1500, 150 ,0 ,180, 3.6 ,0 ,10 , 0.5  ,0 ,100, ,220 , 13.2
215,   Noctis ,240, 48 , 5.4 ,560, 56 ,10 ,150, 15 ,10 ,1500, 150 ,10 ,350, 7 ,4 ,9 / 11, 0.45 / 0.55 ,1.7 ,100,1.75 ,420 , 25.2
216,   Noglin ,, , ,?, , ,, , ,?, , ,?, , ,? , ,0 ,, , , 
217,   Obsidioequus ,60000, 12000 , ,650, 65 , ,150, 15 , ,4000, 400 , ,3000, 60 , ,? , ,0 ,100, ,500 , 30
218,   Onyc ,250, 50 , 5.4 ,100, 10 ,10 ,150, 15 ,10 ,1500, 150 ,10 ,50, 1 ,4 ,35 , 1.75  ,1.7 ,100,1 ,200 , 12
219,   Otter ,40, 8 , 5.4 ,180, 18 ,10 ,600, 60 ,10 ,400, 40 ,10 ,30, 0.6 ,4 ,10 , 0.4  ,1.7 ,100,1 ,350 , 21
220,   Overseer ,24000, 4800 , ,10000, 1000 , ,2000, 200 , ,2600, 260 , ,4000, 80 ,2 ,0 , 0  , ,100, ,350 , 21
221,   Overseer (Gamma) ,63360, 12672 , ,10000, 1000 , ,, , ,2600, 260 , ,4000, 80 , ,0 , 0  , ,100, ,350 , 21
222,   Overseer (Beta) ,132480, 26496 , ,10000, 1000 , ,, , ,2600, 260 , ,4000, 80 , ,0 , 0  , ,100, ,350 , 21
223,   Overseer (Alpha) ,207360.0156, 41472.00312 , ,10000, 1000 , ,, , ,2600, 260 , ,4000, 80 , ,0 , 0  , ,100, ,350 , 21
224,   Oviraptor ,140, 28 , 5.4 ,120, 12 ,10 ,150, 15 ,10 ,900, 90 ,10 ,100, 2 ,4 ,12 , 0.6  ,1.7 ,100,1 ,125 , 7.5
225,   Ovis ,100, 20 , 5.4 ,100, 10 ,10 ,150, 15 ,10 ,1200, 120 ,10 ,90, 1.8 ,4 ,5 , 0.25  ,1.7 ,100,1 ,85 , 5.1
226,   Pachy ,175, 35 , 5.4 ,150, 15 ,10 ,150, 15 ,10 ,1200, 120 ,10 ,150, 3 ,4 ,10 , 0.5  ,1.7 ,100,3 ,160 , 9.6
227,   Pachyrhinosaurus ,375, 75 , 5.4 ,150, 15 ,10 ,150, 15 ,10 ,3000, 300 ,10 ,365, 7.3 ,4 ,28 / 10, 1.4 / 0.5 ,1.7 ,100,1 ,250 , 15
228,   Paraceratherium (Corrupted) ,1026, 205.2 , ,300, 30 , ,150, 15 , ,6500, 650 , ,850, 17 , ,45 , 2.25  , ,100, ,1300 , 78
229,   Paraceratherium ,1026, 205.2 , 3.4425 ,300, 30 ,10 ,150, 15 ,10 ,6500, 650 ,10 ,850, 17 ,4 ,45 , 2.25  ,1.7 ,100,1 ,1300 , 78
230,   Paraceratherium (Aberrant) ,1026, 205.2 , 3.4425 ,300, 30 ,10 ,150, 15 ,10 ,6500, 650 ,10 ,850, 17 ,4 ,45 , 2.25  ,1.7 ,100,1 ,1300 , 78
231,   Parakeet Fish School ,1800, 360 , ,100, 10 , ,150, 15 , ,100, 10 , ,100, 2 , ,23 , 1.15  , ,100, ,100 , 6
232,   Parasaur ,200, 40 , 5.4 ,450, 45 ,10 ,150, 15 ,10 ,1500, 150 ,10 ,480, 9.6 ,4 ,12 , 0.6  ,1.7 ,100,1 ,150 , 9
233,   Parasaur (Aberrant) ,200, 40 , 5.4 ,450, 45 ,10 ,150, 15 ,10 ,1500, 150 ,10 ,480, 9.6 ,4 ,12 , 0.6  ,1.7 ,100,1 ,150 , 9
234,   Party Dodo ,40, 8 , ,100, 10 , ,150, 15 , ,450, 45 , ,50, 1 , ,5 , 0.25  , ,100, ,30 , 1.8
235,   Pegomastax ,120, 24 , 5.4 ,100, 10 ,10 ,150, 15 ,10 ,450, 45 ,10 ,55, 1.1 ,4 ,10 / 1, 0.5 / 0.05 ,1.7 ,100,1 ,30 , 1.8
236,   Pelagornis ,240, 48 , 5.4 ,180, 9 ,4 ,150, 15 ,10 ,1200, 120 ,10 ,150, 3 ,3 ,16 , 0.8  ,1.275 ,100, ,120 , 7.2
237,   Phiomia ,300, 60 , 5.4 ,300, 30 ,10 ,150, 15 ,10 ,3000, 300 ,10 ,200, 4 ,4 ,10 , 0.5  ,1.7 ,100,1 ,240 , 14.4
238,   Phoenix ,640, 128 , 5.4 ,352, 35.2 ,10 ,150, 15 ,10 ,1500, 150 ,10 ,324, 6.48 ,4 ,14 / 23, 0.7 / 1.15 ,1.7 ,100, ,200 , 12
239,   Piranha ,150, 30 , ,120, 12 ,0 ,, , ,1200, 120 ,0 ,15, 0.3 ,0 ,22 , 1.1  ,0 ,100, ,250 , 15
240,   Plesiosaur ,2400, 288 , 3.24 ,800, 80 ,10 ,150, 15 , ,5000, 500 ,10 ,800, 16 ,4 ,75 , 3.75  ,1.7 ,100,0.5 ,1600 , 96
241,   Procoptodon ,400, 80 , 5.4 ,350, 35 ,10 ,150, 15 ,10 ,1500, 150 ,10 ,550, 11 ,4 ,20 , 1  ,1.7 ,100,1 ,350 , 21
242,   Pteranodon (Corrupted) ,210, 42 , ,150, 7.5 ,0 ,150, 15 ,0 ,1200, 120 ,0 ,120, 2.4 ,0 ,12 , 0.6  ,0 ,100, ,120 , 7.2
243,   Pteranodon ,210, 42 , 3 ,150, 7.5 ,4 ,150, 15 ,10 ,1200, 120 ,10 ,120, 2.4 ,3 ,18 / 50, 0.9 / 2.5 ,1.275 ,100, ,120 , 7.2
244,   Pulmonoscorpius ,280, 56 , 5.4 ,200, 20 ,10 ,150, 15 ,10 ,1500, 150 ,10 ,200, 4 ,4 ,15 , 0.75  ,1.7 ,100,1 ,150 , 9
245,   Purlovia ,275, 55 , 5.4 ,300, 30 ,10 ,150, 15 ,10 ,4000, 400 ,10 ,400, 8 ,4 ,32 , 1.6  ,1.7 ,100,1 ,500 , 30
246,   Purlovia ,550, 110 , ,300, 30 , ,150, 15 , ,4000, 400 , ,400, 8 , ,32 , 1.6  , ,100, ,500 , 30
247,   Quetzal ,1200, 240 , 2.16 ,800, 40 ,5 ,150, 15 ,10 ,1200, 120 ,10 ,800, 16 ,5 ,32 , 1.28  ,1.7 ,100, ,1850 , 111
248,   Raptor (Corrupted) ,200, 40 , ,150, 15 , ,150, 15 , ,1200, 120 , ,140, 2.8 , ,15 / 10, 0.75 / 0.5 , ,100, ,180 , 10.8
249,   Raptor ,200, 40 , 5.4 ,150, 15 ,10 ,150, 15 ,10 ,1200, 120 ,10 ,140, 2.8 ,4 ,15 / 10, 0.75 / 0.5 ,1.7 ,100,1.5 ,180 , 10.8
250,   Raptor (Aberrant) ,200, 40 , 5.4 ,150, 15 ,10 ,150, 15 ,10 ,1200, 120 ,10 ,140, 2.8 ,4 ,15.75 / 10.5, 0.7875 / 0.525 ,1.7 ,100,1.5 ,180 , 10.8
251,   Ravager ,400, 80 , 5.4 ,350, 35 ,10 ,150, 15 ,10 ,1200, 120 ,10 ,500, 10 ,4 ,33 , 1.32  ,1.36 ,100,1 ,500 , 30
252,   Reaper (Elemental King) ,1250, 250 , ,480, 48 , ,150, 15 , ,3000, 300 , ,415, 8.3 , ,90 , 4.5  , ,100, ,925 , 55.5
253,   Reaper (Subterranean King) ,2000, 400 , ,480, 48 , ,150, 15 , ,3000, 300 , ,415, 8.3 , ,85 , 4.25  ,1.7 ,100, ,925 , 55.5
254,   Reaper (Surface King) ,2500, 500 , ,480, 48 , ,150, 15 , ,3000, 300 , ,415, 8.3 , ,85 , 4.25  , ,100, ,925 , 55.5
255,   Reaper (Alpha Surface King) ,42500, 8500 , ,480, 48 , ,150, 15 , ,3000, 300 , ,415, 8.3 , ,180 , 9  , ,100, ,925 , 55.5
256,   Reaper ,45000, 234 , ,480, 48 , ,150, 15 , ,3000, 300 , ,415, 8.3 , ,75 / 1, 3.75 / 0.05 , ,100, ,925 , 55.5
257,   Reaper (King Tamed) ,45000, 234 , 2.7 ,480, 48 ,10 ,150, 15 ,10 ,3000, 300 ,10 ,415, 8.3 ,4 ,75 , 3.75  ,1.7 ,100,1 ,925 , 55.5
258,   Rex (Corrupted) ,1100, 220 , ,420, 42 ,0 ,150, 15 ,0 ,3000, 300 ,0 ,500, 10 ,0 ,62 , 3.1  ,0 ,100, ,1550 , 93
259,   Rex ,1100, 220 , 5.4 ,420, 42 ,10 ,150, 15 ,10 ,3000, 300 ,10 ,500, 10 ,4 ,62 , 3.1  ,1.7 ,100,1 ,1550 , 93
260,   Rex Ghost ,1100, 220 , ,420, 42 , ,150, 15 , ,3000, 300 , ,500, 10 , ,62 , 3.1  , ,100, ,1550 , 93
261,   Rock Drake (Corrupted) ,1950, 165.75 , ,450, 22.5 ,0 ,150, 15 ,0 ,2000, 200 ,0 ,400, 8 ,0 ,60 , 3  ,0 ,100, ,725 , 43.5
262,   Rock Drake ,1950, 165.75 , 4.05 ,450, 22.5 ,5 ,150, 15 ,10 ,2000, 200 ,10 ,400, 8 ,4 ,60 , 3  ,1.7 ,100, ,725 , 43.5
263,   Rock Elemental (Rubble Golem) ,4000, 50 , ,300, 30 , ,, , ,6000, 600 , ,660, 13.2 , ,75 , 3.75  , ,100, ,5000 , 300
264,   Rock Elemental ,25000, 312.5 , 2.7 ,300, 30 ,10 ,150, 15 , ,6000, 600 ,10 ,660, 13.2 ,4 ,120 / 300, 6 / 15 ,1.7 ,100,1 ,5000 , 300
265,   Rock Elemental (Minion) ,50000, 625 , 2.7 ,1000, 100 ,10 ,150, 15 , ,6000, 600 ,10 ,660, 13.2 ,4 ,120 / 300, 6 / 15 ,1.7 ,100,1 ,5000 , 300
266,   Rockwell (Gamma) ,42000, 8400 , ,400, 40 ,0 ,2000, 200 ,0 ,2600, 260 ,0 ,3000, 60 ,0 ,0 , 0  ,0 ,100, ,350 , 21
267,   Rockwell (Beta) ,68500, 13700 , ,400, 40 ,0 ,2000, 200 ,0 ,2600, 260 ,0 ,3000, 60 ,0 ,0 , 0  ,0 ,100, ,350 , 21
268,   Rockwell (Alpha) ,115000, 23000 , ,400, 40 ,0 ,2000, 200 ,0 ,2600, 260 ,0 ,3000, 60 ,0 ,0 , 0  ,0 ,100, ,350 , 21
269,   Roll Rat ,850, 170 , 5.4 ,300, 30 ,10 ,150, 15 ,10 ,3000, 300 ,10 ,400, 8 ,4 ,42 , 2.1  ,1.7 ,100,2 ,800 , 48
270,   Royal Griffin ,750, 112.5 , 4.32 ,225, 11.25 ,6 ,150, 15 ,10 ,1600, 160 ,10 ,350, 7 ,4 ,27 / 12, 1.35 / 0.6 ,1.7 ,100,2.5 ,1500 , 90
271,   Sabertooth ,250, 50 , 5.4 ,200, 20 ,10 ,150, 15 ,10 ,1200, 120 ,10 ,200, 4 ,4 ,29 , 1.45  ,1.7 ,100,1 ,500 , 30
272,   Sabertooth Salmon ,65, 13 , ,100, 10 ,0 ,, , ,100, 10 ,0 ,18, 0.36 ,0 ,4 , 0.2  ,0 ,100, ,15 , 0.9
273,   Sarco ,400, 80 , 5.4 ,450, 45 ,10 ,, , ,1500, 150 ,10 ,300, 6 ,4 ,35 / 45, 1.75 / 2.25 ,1.7 ,100,1 ,400 , 24
274,   Sarco (Aberrant) ,400, 80 , 5.4 ,450, 45 ,10 ,, , ,1500, 150 ,10 ,300, 6 ,4 ,35 , 1.75  ,1.7 ,100,1 ,400 , 24
275,   Scout ,3, 0.225 , ,90, 180 , ,, , ,7, 3.5 , ,0, , ,0 , ,0 ,0.5, ,0 , 0
276,   Seeker ,250, 50 , ,100, 10 ,0 ,150, 15 ,0 ,1500, 150 ,0 ,50, 1 ,0 ,10 , 0.5  ,0 ,100, ,200 , 12
277,   Shadowmane ,, , ,?, , ,, , ,?, , ,?, , ,? , ,0 ,, , , 
278,   Shinehorn ,115, 23 , 5.4 ,180, 19.8 ,11 ,180, 19.8 ,11 ,450, 45 ,10 ,100, 2 ,4 ,12 , 0.66  ,1.955 ,100,1 ,60 , 3.6
279,   Skeletal Bronto ,34500, 6900 , ,240, 24 ,0 ,150, 15 ,0 ,10000, 1000 ,0 ,1600, 32 ,0 ,90 , 4.5  ,0 ,100, ,2000 , 120
280,   Skeletal Carnotaurus ,6400, 1280 , ,300, 30 ,0 ,150, 15 , ,2000, 200 ,0 ,300, 6 ,0 ,80 , 4  ,0 ,100, ,350 , 21
281,   Skeletal Giganotosaurus ,80000, 40 , ,400, 0.2 ,0 ,150, 0.375 ,0 ,4000, 10 ,0 ,700, 7 ,0 ,1200 , 60  ,0 ,100, ,10000 , 600
282,   Skeletal Jerboa ,825, 165 , ,100, 10 ,0 ,150, 15 ,0 ,450, 45 ,0 ,55, 1.1 ,0 ,3 , 0.15  ,0 ,100, ,1000 , 60
283,   Skeletal Quetzal ,18000, 3600 , ,750, 75 ,0 ,150, 15 ,0 ,1200, 120 ,0 ,780, 15.6 ,0 ,48 , 1.92  ,0 ,100, ,1850 , 111
284,   Skeletal Raptor ,3600, 720 , ,150, 15 ,0 ,, , ,1200, 120 ,0 ,140, 2.8 ,0 ,40 , 2  ,0 ,100, ,180 , 10.8
285,   Skeletal Rex ,17500, 3500 , ,420, 42 ,0 ,150, 15 , ,3000, 300 ,0 ,500, 10 ,0 ,170 , 8.5  ,0 ,100, ,1550 , 93
286,   Skeletal Stego ,8550, 1710 , ,300, 30 ,0 ,150, 15 ,0 ,6000, 600 ,0 ,440, 8.8 ,0 ,62 , 3.1  ,0 ,100, ,500 , 30
287,   Skeletal Trike ,5625, 1125 , ,150, 15 ,0 ,150, 15 ,0 ,3000, 300 ,0 ,365, 7.3 ,0 ,48 , 2.4  ,0 ,100, ,250 , 15
288,   Snow Owl ,325, 65 , 5.4 ,350, 35 ,10 ,150, 15 ,10 ,2000, 200 ,10 ,375, 7.5 ,4 ,25 , 1.25  ,1.7 ,100, ,600 , 36
289,   Snow Owl Ghost ,325, 65 , ,350, 35 , ,150, 15 , ,2000, 200 , ,375, 7.5 , ,25 , 1.25  , ,100, ,600 , 36
290,   Spino ,700, 140 , ,350, 35 ,0 ,650, 65 ,0 ,2600, 260 ,0 ,350, 7 ,0 ,40 , 2  ,0 ,100, ,850 , 51
291,   Spino ,700, 140 , 5.4 ,350, 35 ,10 ,650, 65 ,10 ,2600, 260 ,10 ,350, 7 ,4 ,40 , 2  ,1.7 ,100,1 ,850 , 51
292,   Spino (Aberrant) ,700, 140 , 5.4 ,350, 35 ,10 ,650, 65 ,10 ,2600, 260 ,10 ,350, 7 ,4 ,40 , 2  ,1.7 ,100,1 ,850 , 51
293,   Stegosaurus ,650, 130 , 5.4 ,300, 30 ,10 ,150, 15 ,10 ,6000, 600 ,10 ,500, 10 ,4 ,42 , 2.1  ,1.7 ,100,2 ,500 , 30
294,   Stegosaurus (Aberrant Stegosaurus) ,650, 130 , 5.4 ,300, 30 ,10 ,150, 15 ,10 ,6000, 600 ,10 ,500, 10 ,4 ,42 , 2.1  ,1.7 ,100,2 ,500 , 30
295,   Stryder ,, , ,?, , ,, , ,?, , ,?, , ,? , ,0 ,, , , 
296,   Super Turkey ,2000, 400 , ,1000, 100 , ,150, 15 , ,450, 0 , ,170, 3.4 , ,61 , 0.915  , ,100, ,1000 , 60
297,   Surface Reaper King Ghost ,2500, 500 , ,480, 48 , ,150, 15 , ,3000, 300 , ,415, 8.3 , ,52 , 2.6  , ,100, ,925 , 55.5
298,   Tapejara ,325, 65 , 5.4 ,250, 12.5 ,6 ,150, 15 ,10 ,1600, 160 ,10 ,280, 5.6 ,4 ,18 , 0.9  ,1.7 ,100, ,450 , 27
299,   Terror Bird ,270, 54 , 5.4 ,160, 16 ,10 ,150, 15 ,10 ,1500, 150 ,10 ,120, 2.4 ,4 ,18 , 0.9  ,1.7 ,100,1 ,300 , 18
300,   Therizinosaur ,870, 174 , 5.4 ,300, 30 ,10 ,150, 15 ,10 ,3000, 300 ,10 ,365, 7.3 ,4 ,52 / 5, 2.6 / 0.25 ,1.7 ,100,1 ,925 , 55.5
301,   Thorny Dragon ,260, 52 , 5.4 ,350, 35 ,10 ,150, 15 ,10 ,1200, 120 ,10 ,300, 6 ,4 ,40 / 10, 2 / 0.5 ,1.7 ,100,1 ,450 , 27
302,   Thylacoleo ,700, 140 , 3.78 ,400, 40 ,10 ,200, 20 ,10 ,1500, 150 ,10 ,400, 8 ,4 ,40 , 2  ,1.7 ,100,1 ,700 , 42
303,   Titanoboa ,170, 34 , 5.4 ,150, 15 ,10 ,, , ,1200, 120 ,10 ,150, 3 ,4 ,30 , 1.5  ,1.7 ,100,1 ,175 , 10.5
304,   Titanomyrma ,35, 7 , ,100, 10 ,0 ,150, 15 ,0 ,450, 45 ,0 ,150, 3 ,0 ,7 , 0.35  ,0 ,100, ,50 , 3
305,   Titanomyrma ,50, 10 , ,100, 10 ,0 ,150, 15 ,0 ,900, 90 ,0 ,50, 1 ,0 ,11 , 0.55  ,0 ,100, ,75 , 4.5
306,   Titanosaur ,230000, 0 , ,2000, 0 ,0 ,600, 0 ,0 ,8640, 0 ,0 ,50000, 0 ,0 ,1000 , 0  ,0 ,100, ,25000 , 1500
307,   Triceratops (Corrupted) ,375, 75 , ,150, 15 ,0 ,150, 15 ,0 ,3000, 300 ,0 ,365, 7.3 ,0 ,32 , 1.6  ,0 ,100, ,250 , 15
308,   Triceratops ,375, 75 , 5.4 ,150, 15 ,10 ,150, 15 ,10 ,3000, 300 ,10 ,365, 7.3 ,4 ,32 , 1.6  ,1.7 ,100,1.5 ,250 , 15
309,   Triceratops (Aberrant) ,375, 75 , 5.4 ,150, 15 ,10 ,150, 15 ,10 ,3000, 300 ,10 ,365, 7.3 ,4 ,32 , 1.6  ,1.7 ,100,1.5 ,250 , 15
310,   Trilobite ,160, 32 , ,100, 10 ,0 ,, , ,450, 45 ,0 ,150, 3 ,0 ,0 , 0  ,0 ,100, ,50 , 3
311,   Troodon ,200, 40 , 5.4 ,150, 15 ,10 ,150, 15 ,10 ,200, 20 ,10 ,140, 2.8 ,4 ,7 , 0.35  ,1.7 ,100,1 ,180 , 10.8
312,   Tropeognathus ,360, 72 , 4.86 ,250, 12.5 ,5 ,150, 15 ,10 ,1600, 160 ,10 ,340, 6.8 ,4 ,18 , 0.9  ,1.7 ,100, ,450 , 27
313,   Tusoteuthis ,2700, 540 , 4.05 ,300, 30 ,10 ,215, 21.5 , ,3200, 320 ,10 ,800, 16 ,4 ,65 / 2, 3.25 / 0.1 ,1.7 ,100,1 ,1800 , 108
314,   Velonasaur ,440, 88 , 5.4 ,325, 32.5 ,10 ,225, 22.5 ,10 ,2250, 225 ,10 ,325, 6.5 ,4 ,32 , 1.6  ,1.7 ,100,1 ,400 , 24
315,   Vulture ,125, 25 , 5.4 ,150, 15 ,10 ,150, 15 ,10 ,900, 90 ,10 ,50, 1 ,4 ,23 , 1.15  ,1.7 ,100,1 ,100 , 6
316,   Woolly Rhino ,500, 100 , 5.4 ,120, 12 ,10 ,100, 10 ,10 ,3000, 300 ,10 ,750, 15 ,4 ,40 , 2  ,1.7 ,100,1 ,600 , 36
317,   Wyvern (Corrupted) ,1295, 194.25 , ,315, 15.75 , ,150, 15 , ,1800, 180 , ,400, 8 , ,80 , 4  , ,100, ,725 , 43.5
318,   Wyvern ,1295, 194.25 , 4.05 ,315, 15.75 ,5 ,150, 15 ,10 ,1800, 180 ,10 ,400, 8 ,4 ,80 , 4  ,1.7 ,100, ,725 , 43.5
319,   Yeti ,2000, 200 , ,300, 30 , ,150, 15 , ,1500, 150 , ,220, 4.4 , ,50 / 60, 2 / 2.4 , ,100, ,1100 , 66
320,   Yutyrannus ,1100, 220 , 5.4 ,420, 42 ,10 ,150, 15 ,10 ,3000, 300 ,10 ,500, 10 ,4 ,55 , 2.75  ,1.7 ,100,1 ,1550 , 93
321,   Zombie Wyvern ,1725, 258.75 , 4.05 ,275, 13.75 ,5 ,150, 15 ,10 ,2000, 200 ,10 ,400, 8 ,4 ,80 , 4  ,1.7 ,100, ,725 , 43.5
322,   Zomdodo ,700, 140 , 5.4 ,1000, 100 ,10 ,150, 15 ,10 ,450, 0 ,0 ,170, 3.4 ,4 ,55 , 0.825  ,1.7 ,100,1 ,1000 , 60
